Architecture,Core_Speed,DVI_Connection,Dedicated,Direct_X,HDMI_Connection,Integrated,L2_Cache,Manufacturer,Max_Power,Memory,Memory_Bandwidth,Memory_Bus,Memory_Speed,Memory_Type,Name,Notebook_GPU,Open_GL,PSU,Pixel_Rate,Power_Connector,Process,ROPs,Release_Date,Resolution_WxH,SLI_Crossfire,Shader,TMUs,Texture_Rate,VGA_Connection
RV870,N/A,2,Yes,DX 11,0,No,0KB,AMD,138 Watts,2048 MB,128GB/sec,256 Bit,1000 MHz,GDDR5,FirePro V7800,No,4.1,N/A,N/A,None,N/A,N/A,26-Apr-2010,2560x1600,Yes,5,N/A,N/A,0
Cayman LE GL,N/A,1,Yes,DX 11,0,No,0KB,AMD,75 Watts,2048 MB,128GB/sec,256 Bit,1000 MHz,GDDR5,FirePro V5900,No,4.1,400 Watt,19 GPixel/s,None,40nm,32,24-May-2011,2560x1600,Yes,5,32,19 GTexel/s,0
RV250,N/A,1,Yes,DX 8,1,No,0KB,AMD,150 Watts,64 MB,3.2GB/sec,128 Bit,200 MHz,DDR,All-in-Wonder 9000 64MB,No,1.3,N/A,N/A,None,N/A,N/A,01-Mar-2003,2048x1536,No,1.4,N/A,N/A,N/A
Evergreen Juniper XT GL,N/A,1,Yes,DX 11.1,0,No,0KB,AMD,74 Watts,1024 MB,64GB/sec,128 Bit,1000 MHz,GDDR5,FirePro V5800,No,4.2,400 Watt & 27 Amps,11 GPixel/s,None,40nm,16,26-Apr-2010,4096x2160,Yes,5,40,28 GTexel/s,0
RV730,N/A,1,Yes,DX 10.1,0,No,0KB,AMD,56 Watts,512 MB,28.8GB/sec,128 Bit,900 MHz,GDDR3,FirePro V5700,No,3.3,350 Watt & 20 Amps,6 GPixel/s,None,55nm,8,08-Aug-2008,2560x1600,No,4.1,32,22 GTexel/s,0
RV730,N/A,1,Yes,DX 10.1,0,No,0KB,AMD,48 Watts,256 MB,22.4GB/sec,128 Bit,700 MHz,GDDR3,FirePro V3750,No,3.3,350 Watt,4 GPixel/s,None,55nm,8,11-Sep-2008,2560x1600,No,4.1,32,18 GTexel/s,0
GCN 2.0 Hawaii XT GL,N/A,0,Yes,DX 11.2,0,No,1024KB,AMD,235 Watts,16384 MB,320GB/sec,512 Bit,1250 MHz,GDDR5,FirePro S9150,No,4.2,N/A,58 GPixel/s,1x 6-pin + 1x 8-pin,28nm,64,01-Aug-2014,4096x2160,Yes,5,176,158 GTexel/s,0
GCN 1.0 Tahiti PRO GL,900 MHz,0,Yes,DX 12.0,0,No,768KB,AMD,225 Watts,12288 MB,264GB/sec,384 Bit,1375 MHz,GDDR5,FirePro S9050,No,4.4,N/A,29 GPixel/s,1x 6-pin + 1x 8-pin,28nm,32,01-Aug-2014,4096x2160,Yes,5,112,101 GTexel/s,0
Cypress XT,N/A,0,Yes,DX 11,0,No,0KB,AMD,250 Watts,4096 MB,147.2GB/sec,256 Bit,1150 MHz,GDDR5,FirePro V9800,No,4.1,600 Watt & 42 Amps,27 GPixel/s,None,28nm,32,01-Sep-2010,2560x1600,Yes,5,80,68 GTexel/s,0
GCN 1.0 Tahiti PRO GL,900 MHz,0,Yes,DX 12.0,0,No,768KB,AMD,225 Watts,6144 MB,264GB/sec,384 Bit,1375 MHz,GDDR5,FirePro S9000,No,4.4,N/A,29 GPixel/s,1x 6-pin + 1x 8-pin,28nm,32,01-Aug-2012,4096x2160,Yes,5,112,101 GTexel/s,0
Pitcairn XT,N/A,0,Yes,DX 11.1,0,No,0KB,AMD,150 Watts,4096 MB,153.6GB/sec,256 Bit,1200 MHz,GDDR5,FirePro S7000,No,4.2,N/A,N/A,None,N/A,N/A,01-Aug-2012,4096x2160,No,5,N/A,N/A,0
Tahiti XT GL,N/A,0,Yes,DX 11.2,0,No,0KB,AMD,274 Watts,3072 MB,264GB/sec,384 Bit,1375 MHz,GDDR5,FirePro D700,No,4.3,500 Watt & 40 Amps,27 GPixel/s,None,28nm,32,18-Jan-2014,4096x2160,Yes,5,128,109 GTexel/s,0
Tahiti LE,N/A,0,Yes,DX 11.1,0,No,0KB,AMD,175 Watts,3072 MB,240GB/sec,384 Bit,1250 MHz,GDDR5,FirePro D500,No,4.2,500 Watt & 26 Amps,23 GPixel/s,None,28nm,32,18-Jan-2014,4096x2160,Yes,5,96,70 GTexel/s,0
Turks,N/A,1,Yes,DX 11,0,No,0KB,AMD,75 Watts,1024 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,FirePro V3900,No,4.2,350 Watt & 20 Amps,5 GPixel/s,None,40nm,8,01-Feb-2012,2560x1600,No,5,24,16 GTexel/s,0
Kaveri Spectre,N/A,0,No,DX 11.2,0,Yes,0KB,AMD,65 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR3,Radeon R7 7860K,No,4.3,300 Watt & 22 Amps,6 GPixel/s,None,28nm,8,02-Feb-2016,4096x2160,No,5,32,24 GTexel/s,0
RV870,N/A,0,Yes,DX 11,0,No,0KB,AMD,225 Watts,4096 MB,153.6GB/sec,256 Bit,1200 MHz,GDDR5,FireStream 9370,No,4,N/A,N/A,None,N/A,N/A,23-Jun-2010,2560x1600,No,5,N/A,N/A,0
Kaveri Spectre,N/A,0,No,DX 11.2,0,Yes,0KB,AMD,95 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR3,Radeon R7 7700K,No,4.3,N/A,7 GPixel/s,None,28nm,8,17-Feb-2014,4096x2160,No,5,24,20 GTexel/s,0
Kaveri Spectre,N/A,0,No,DX 11.2,0,Yes,4096KB,AMD,95 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR3,Radeon R7 7850K,No,4.3,300 Watt & 12 Amps,7 GPixel/s,None,28nm,8,14-Jan-2014,4096x2160,No,5,32,27 GTexel/s,0
Kaveri Spectre,N/A,0,No,DX 11.2,0,Yes,0KB,AMD,95 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR3,Radeon R7 7870K,No,4.3,300 Watt & 22 Amps,7 GPixel/s,None,28nm,8,28-May-2015,4096x2160,No,5,32,28 GTexel/s,0
Kaveri Spectre,N/A,0,No,DX 11.2,0,Yes,0KB,AMD,95 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR3,Radeon R7 7890K,No,4.3,300 Watt & 22 Amps,7 GPixel/s,None,28nm,8,01-Mar-2016,4096x2160,No,5,32,28 GTexel/s,0
GCN 1.0 Tahiti PRO,825 MHz,1,Yes,DX 12.0,0,No,768KB,AMD,375 Watts,6144 MB,240GB/sec,384 Bit,1250 MHz,GDDR5,FirePro S10000,No,4.4,750 Watt & 46 Amps,53 GPixel/s,None,28nm,64,01-Nov-2012,4096x2160,Yes,5,224,185 GTexel/s,0
RV770,N/A,1,Yes,DX 10.1,0,No,0KB,AMD,160 Watts,2048 MB,108.8GB/sec,256 Bit,850 MHz,GDDR5,FireStream 9270,No,3,600 Watt & 42 Amps,12 GPixel/s,None,55nm,16,13-Nov-2008,2560x1600,No,4,40,30 GTexel/s,0
RV870,N/A,1,Yes,DX 11,0,No,0KB,AMD,150 Watts,2048 MB,128GB/sec,256 Bit,1000 MHz,GDDR5,FireStream 9350,No,4,500 Watt & 40 Amps,22 GPixel/s,None,55nm,32,01-Jun-2010,2560x1600,No,5,72,50 GTexel/s,0
RV670,N/A,2,Yes,DX 10.1,0,No,0KB,AMD,105 Watts,2048 MB,51.2GB/sec,256 Bit,800 MHz,GDDR3,FireStream 9170,No,3,500 Watt & 33 Amps,13 GPixel/s,None,55nm,16,08-Nov-2007,2560x1600,No,4,16,13 GTexel/s,0
Kaveri Spectre,N/A,0,No,DX 11.2,0,Yes,0KB,AMD,65 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR3,Radeon R7 7800,No,4.3,300 Watt & 18 Amps,7 GPixel/s,None,28nm,8,30-Jun-2014,4096x2160,No,5,32,27 GTexel/s,0
RV770,N/A,1,Yes,DX 10.1,0,No,0KB,AMD,150 Watts,1024 MB,63.6GB/sec,256 Bit,993 MHz,GDDR3,FireStream 9250,No,3,500 Watt & 33 Amps,10 GPixel/s,None,55nm,16,16-Jun-2008,2560x1600,No,4,40,25 GTexel/s,0
Kaveri,N/A,0,No,DX 11.2,0,Yes,0KB,AMD,65 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR3,Radeon R7 7600,No,4.3,300 Watt & 18 Amps,6 GPixel/s,None,28nm,8,30-Jun-2014,4096x2160,No,5,24,17 GTexel/s,0
Kaveri,N/A,0,No,DX 11.2,0,Yes,0KB,AMD,35 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR3,Radeon R7 7600P,No,4.3,N/A,5 GPixel/s,None,28nm,8,30-Jun-2014,4096x2160,No,5,32,22 GTexel/s,0
GCN 1.1 Godavari-KV-A1,757 MHz,0,No,DX 12.0,0,Yes,4096KB,AMD,95 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR3,Radeon R7 7670K,No,4.4,300 Watt & 20 Amps,6 GPixel/s,None,28nm,8,20-Jul-2015,4096x2160,No,5,24,18 GTexel/s,0
GCN 1.1 Kaveri-KV-A1,720 MHz,0,No,DX 12.0,0,Yes,4096KB,AMD,95 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR3,Radeon R7 7650K,No,4.4,300 Watt & 20 Amps,6 GPixel/s,None,28nm,8,01-Feb-2015,4096x2160,No,5,24,17 GTexel/s,0
Kabini,N/A,0,Yes,DX 11.2,0,No,0KB,AMD,25 Watts,2048 MB,25.6GB/sec,128 Bit,800 MHz,DDR3,Radeon R3 5150,No,4.3,300 Watt & 18 Amps,5 GPixel/s,None,28nm,8,09-Apr-2014,4096x2160,No,5,24,14 GTexel/s,0
Richland,N/A,0,No,DX 11.1,0,Yes,0KB,AMD,100 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR3,Radeon HD 8670D,No,4.1,N/A,7 GPixel/s,None,32nm,8,01-Jun-2013,2560x1600,No,5,24,20 GTexel/s,0
Kaveri,N/A,0,No,DX 11.2,0,Yes,0KB,AMD,65 Watts,2048 MB,29.9GB/sec,128 Bit,933 MHz,DDR3,Radeon R5 7400K,No,4.3,300 Watt & 18 Amps,6 GPixel/s,None,28nm,8,30-Jun-2014,4096x2160,No,5,16,12 GTexel/s,0
Kabini,N/A,0,No,DX 11.2,0,Yes,0KB,AMD,25 Watts,2048 MB,25.6GB/sec,128 Bit,800 MHz,DDR3,Radeon R3 5350,No,4.3,300 Watt & 18 Amps,5 GPixel/s,None,28nm,8,09-Apr-2014,4096x2160,No,5,24,14 GTexel/s,0
Terascale 2 Thames PRO,720 MHz,0,No,DX 11.0,0,Yes,256KB,AMD,65 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR3,Radeon HD 8650D,No,4.3,450 Watt,7 GPixel/s,None,40nm,8,28-Dec-2013,2560x1600,Yes,5,24,20 GTexel/s,0
Richland,N/A,0,No,DX 11.1,0,Yes,0KB,AMD,65 Watts,2048 MB,29.9GB/sec,128 Bit,933 MHz,DDR3,Radeon HD 8570D,No,4.1,N/A,7 GPixel/s,None,28nm,8,01-Jun-2013,2560x1600,No,5,16,14 GTexel/s,0
Terascale 2 Thames PRO,760 MHz,0,Yes,DX 11.0,0,No,256KB,AMD,65 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR3,Radeon HD 8550D,No,4.3,450 Watt,7 GPixel/s,None,40nm,8,18-Sep-2013,2560x1600,Yes,5,24,20 GTexel/s,0
Richland,N/A,0,No,DX 11.1,0,Yes,0KB,AMD,65 Watts,2048 MB,29.9GB/sec,128 Bit,933 MHz,DDR3,Radeon HD 8470D,No,4.1,N/A,3 GPixel/s,None,28nm,4,01-Jun-2013,2560x1600,No,5,12,10 GTexel/s,0
Scrapper,N/A,0,No,DX 11,0,Yes,0KB,AMD,65 Watts,2048 MB,29.9GB/sec,128 Bit,933 MHz,DDR3,Radeon HD 7540D,No,4.1,N/A,3 GPixel/s,None,32nm,4,01-Jun-2012,2560x1600,No,5,12,9 GTexel/s,0
Terascale 2 Thames PRO,760 MHz,0,No,DX 11.0,0,Yes,256KB,AMD,65 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR3,Radeon HD 8370D,No,4.3,450 Watt,7 GPixel/s,None,40nm,8,18-Sep-2013,2560x1600,Yes,5,24,20 GTexel/s,0
Trinity,N/A,0,No,DX 11,0,Yes,0KB,AMD,65 Watts,2048 MB,25.6GB/sec,128 Bit,800 MHz,DDR3,Radeon HD 7480D,No,4.1,N/A,N/A,None,N/A,N/A,01-Jun-2012,2560x1600,No,5,N/A,N/A,0
RV610,N/A,1,Yes,DX 10,0,No,0KB,AMD,25 Watts,256 MB,8GB/sec,64 Bit,500 MHz,GDDR3,Radeon HD 2400 XT,No,3.3,N/A,3 GPixel/s,None,65nm,4,28-Jun-2007,N/A,Yes,4,4,3 GTexel/s,1
RV610,N/A,0,Yes,DX 10,0,No,0KB,AMD,25 Watts,256 MB,6.4GB/sec,64 Bit,400 MHz,DDR2,Radeon HD 2400 Pro PCI-E,No,3.1,N/A,2 GPixel/s,None,65nm,4,01-Jun-2007,2560x1600,Yes,4,4,2 GTexel/s,0
RV630,N/A,2,Yes,DX 10,0,No,0KB,AMD,35 Watts,256 MB,16GB/sec,128 Bit,500 MHz,DDR2,Radeon HD 2600 Pro,No,3.1,400 Watt & 20 Amps,2 GPixel/s,None,65nm,4,28-Jun-2007,2560x1600,Yes,4,8,5 GTexel/s,0
RV610,N/A,1,Yes,DX 10,0,No,0KB,AMD,20 Watts,256 MB,6.4GB/sec,64 Bit,400 MHz,DDR2,Radeon HD 2400 Pro,No,3.1,300 Watt & 18 Amps,2 GPixel/s,None,65nm,4,28-Jun-2007,2560x1600,Yes,4,4,2 GTexel/s,1
RV610,N/A,1,Yes,DX 10,0,No,0KB,AMD,150 Watts,256 MB,6.4GB/sec,64 Bit,400 MHz,DDR2,Radeon HD 2400 MSI Pro 256MB GDDR2,No,3.1,N/A,2 GPixel/s,None,65nm,4,01-Jul-2007,2560x1600,Yes,4,4,2 GTexel/s,1
RS740,N/A,0,No,DX 9.0,0,Yes,0KB,AMD,150 Watts,2048 MB,5.3GB/sec,64 Bit,333 MHz,DDR2,Radeon HD 2100,No,3.1,N/A,N/A,None,N/A,N/A,28-Feb-2007,N/A,No,4,N/A,N/A,1
R700 RV790 XT,870 MHz,1,Yes,DX 10.1,1,No,0KB,AMD,190 Watts,1024 MB,134.4GB/sec,256 Bit,1050 MHz,GDDR5,Radeon HD 4890 Sapphire Vapor-X OC 1GB Edition,No,3.3,500 Watt & 37 Amps,14 GPixel/s,2x 6-pin,55nm,16,18-May-2009,2560x1600,Yes,4.1,40,35 GTexel/s,1
BeaverCreek,N/A,2,No,DX 11,1,Yes,0KB,AMD,64 Watts,2048 MB,29.9GB/sec,128 Bit,933 MHz,DDR3,Radeon HD 6530D,No,4.1,N/A,N/A,None,N/A,N/A,20-Jun-2011,2560x1600,No,5,N/A,N/A,1
R700 RV790 XT,1000 MHz,2,Yes,DX 10.1,0,No,0KB,AMD,190 Watts,1024 MB,134.4GB/sec,256 Bit,1050 MHz,GDDR5,Radeon HD 4890 Sapphire Toxic Atomic 1GB Edition,No,3.3,500 Watt & 37 Amps,16 GPixel/s,2x 6-pin,55nm,16,19-May-2009,2560x1600,No,4.1,40,40 GTexel/s,0
RV610,N/A,1,Yes,DX 10,0,No,0KB,AMD,20 Watts,256 MB,6.4GB/sec,64 Bit,400 MHz,DDR2,Radeon HD 2350 Pro,No,3.1,300 Watt & 18 Amps,2 GPixel/s,None,65nm,4,01-Jan-2007,2560x1600,Yes,4,4,2 GTexel/s,0
R700 RV790 XT,901 MHz,2,Yes,DX 10.1,0,No,0KB,AMD,190 Watts,1024 MB,128GB/sec,256 Bit,1000 MHz,GDDR5,Radeon HD 4890 Sapphire OC 1GB Edition,No,3.3,500 Watt & 37 Amps,14 GPixel/s,2x 6-pin,55nm,16,02-Apr-2009,2560x1600,Yes,4.1,40,36 GTexel/s,0
R700 XT,N/A,2,Yes,DX 10.1,0,No,0KB,AMD,420 Watts,2048 MB,230.4GB/sec,512 Bit,900 MHz,GDDR5,Radeon HD 4870 X2,No,3.2,650 Watt & 43 Amps,24 GPixel/s,None,55nm,32,01-Apr-2009,2560x1600,Yes,4.1,80,60 GTexel/s,0
R700 RV790 XT,960 MHz,2,Yes,DX 10.1,0,No,0KB,AMD,190 Watts,1024 MB,134.4GB/sec,256 Bit,1050 MHz,GDDR5,Radeon HD 4890 Sapphire Toxic 1GB Edition,No,3.3,500 Watt & 37 Amps,15 GPixel/s,2x 6-pin,55nm,16,26-May-2009,2560x1600,Yes,4.1,40,38 GTexel/s,0
R700 RV770 PRO,750 MHz,1,Yes,DX 10.1,1,No,0KB,AMD,150 Watts,1024 MB,115.2GB/sec,256 Bit,900 MHz,GDDR5,Radeon HD 4870 Sapphire Vapor-X 1GB Edition,No,3.3,500 Watt & 37 Amps,12 GPixel/s,2x 6-pin,55nm,16,07-Mar-2009,2560x1600,Yes,4.1,40,30 GTexel/s,1
R700 RV790 XT,850 MHz,2,Yes,DX 10.1,0,No,0KB,AMD,190 Watts,1024 MB,124.8GB/sec,256 Bit,975 MHz,GDDR5,Radeon HD 4890,No,3.3,500 Watt & 37 Amps,14 GPixel/s,2x 6-pin,55nm,16,02-Apr-2009,2560x1600,Yes,4.1,40,34 GTexel/s,0
RV770 PRO,N/A,2,Yes,DX 10.1,0,No,0KB,AMD,150 Watts,512 MB,115.2GB/sec,256 Bit,900 MHz,GDDR5,Radeon HD 4870,No,3.2,500 Watt & 32 Amps,12 GPixel/s,None,55nm,16,01-Jun-2008,2560x1600,Yes,4.1,40,30 GTexel/s,0
R700 RV770 PRO,780 MHz,2,Yes,DX 10.1,1,No,0KB,AMD,150 Watts,512 MB,121.6GB/sec,256 Bit,950 MHz,GDDR5,Radeon HD 4870 PowerColor PCS+ 512MB Edition,No,3.3,500 Watt & 37 Amps,12 GPixel/s,2x 6-pin,55nm,16,25-Jun-2008,2560x1600,Yes,4.1,40,31 GTexel/s,0
R700 RV770 PRO,625 MHz,4,Yes,DX 10.1,0,No,0KB,AMD,250 Watts,2048 MB,63.6GB/sec,256 Bit,993 MHz,GDDR3,Radeon HD 4850x2,No,3.3,450 Watt & 34 Amps,10 GPixel/s,None,55nm,16,01-Apr-2009,2560x1600,Yes,4.1,40,25 GTexel/s,0
R700 RV770 PRO,650 MHz,1,Yes,DX 10.1,1,No,0KB,AMD,150 Watts,1024 MB,64GB/sec,256 Bit,1000 MHz,GDDR3,Radeon HD 4850 Sapphire Vapor-X Edition,No,3.3,450 Watt,10 GPixel/s,None,55nm,16,01-Oct-2011,2560x1600,Yes,4.1,40,26 GTexel/s,1
RV790 GT,N/A,2,Yes,DX 10.1,0,No,0KB,AMD,130 Watts,512 MB,96GB/sec,256 Bit,750 MHz,GDDR5,Radeon HD 4860,No,3.3,N/A,11 GPixel/s,None,55nm,16,09-Sep-2009,2560x1600,Yes,4.1,32,22 GTexel/s,0
R700 RV770 PRO,700 MHz,2,Yes,DX 10.1,0,No,0KB,AMD,150 Watts,512 MB,70.4GB/sec,256 Bit,1100 MHz,GDDR3,Radeon HD 4850 Golden Sample Edition,No,3.3,N/A,11 GPixel/s,None,55nm,16,01-Aug-2008,2560x1600,Yes,4.1,40,28 GTexel/s,0
R700 RV770 PRO,625 MHz,1,Yes,DX 10.1,1,No,0KB,AMD,110 Watts,1024 MB,63.6GB/sec,256 Bit,993 MHz,GDDR3,Radeon HD 4850 HIS iCooler IV 1GB Edition,No,3.3,450 Watt & 30 Amps,10 GPixel/s,1x 6-pin,55nm,16,01-Jun-2008,2560x1600,Yes,4.1,40,25 GTexel/s,1
R700 RV770 PRO,640 MHz,1,Yes,DX 10.1,1,No,0KB,AMD,110 Watts,512 MB,60.2GB/sec,256 Bit,940 MHz,GDDR3,Radeon HD 4850 Gigabyte 512MB Edition,No,3.3,450 Watt,10 GPixel/s,None,55nm,16,01-Oct-2011,2560x1600,Yes,4.1,40,26 GTexel/s,1
R700 RV770 PRO,700 MHz,2,Yes,DX 10.1,0,No,0KB,AMD,150 Watts,1024 MB,63.4GB/sec,256 Bit,990 MHz,GDDR3,Radeon HD 4850 Gigabyte OC Edition,No,3.3,N/A,11 GPixel/s,None,55nm,16,01-Jun-2009,2560x1600,Yes,4.1,40,28 GTexel/s,0
R700 RV770 PRO,625 MHz,2,Yes,DX 10.1,0,No,0KB,AMD,110 Watts,512 MB,63.6GB/sec,256 Bit,993 MHz,GDDR3,Radeon HD 4850,No,3.3,450 Watt & 30 Amps,10 GPixel/s,None,55nm,16,01-Jun-2008,2560x1600,Yes,4.1,40,25 GTexel/s,0
R700 RV790 LE,575 MHz,2,Yes,DX 10.1,0,No,0KB,AMD,95 Watts,512 MB,57.6GB/sec,256 Bit,900 MHz,GDDR3,Radeon HD 4830 512MB,No,3.3,450 Watt & 33 Amps,9 GPixel/s,1x 6-pin,55nm,16,21-Oct-2008,2560x1600,Yes,4.1,32,18 GTexel/s,0
R700 RV790 LE,575 MHz,1,Yes,DX 10.1,0,No,0KB,AMD,95 Watts,512 MB,57.6GB/sec,256 Bit,900 MHz,GDDR3,Radeon HD 4830 HIS Fan 512MB Edition,No,3.3,450 Watt & 33 Amps,9 GPixel/s,1x 6-pin,55nm,16,21-Oct-2008,2560x1600,Yes,4.1,32,18 GTexel/s,1
R700 RV730 XT,750 MHz,2,Yes,DX 10.1,1,No,0KB,AMD,59 Watts,1024 MB,27.9GB/sec,128 Bit,873 MHz,GDDR3,Radeon HD 4670 HIS IceQ 1GB Edition,No,3.3,400 Watt & 29 Amps,6 GPixel/s,None,55nm,8,01-Sep-2008,2560x1600,Yes,4.1,32,24 GTexel/s,0
R700 RV740 PRO,750 MHz,2,Yes,DX 10.1,1,No,0KB,AMD,80 Watts,512 MB,51.2GB/sec,128 Bit,800 MHz,GDDR5,Radeon HD 4770 512MB,No,3.3,500 Watt & 33 Amps,12 GPixel/s,1x 6-pin,40nm,16,28-Apr-2009,2560x1600,Yes,4.1,32,24 GTexel/s,0
RV770 CE,N/A,0,Yes,DX 10.1,1,No,0KB,AMD,110 Watts,512 MB,57.6GB/sec,128 Bit,900 MHz,GDDR5,Radeon HD 4730,No,3,450 Watt,6 GPixel/s,None,55nm,8,08-Jun-2009,2560x1600,Yes,4.1,32,24 GTexel/s,1
RV770 CE,N/A,0,Yes,DX 10.1,1,No,0KB,AMD,150 Watts,512 MB,57.6GB/sec,128 Bit,900 MHz,GDDR5,Radeon HD 4730 PowerColor PCS Edition,No,3,450 Watt,6 GPixel/s,None,55nm,8,08-Nov-2009,2560x1600,Yes,4.1,32,22 GTexel/s,1
RV740 PRO,N/A,2,Yes,DX 10.1,0,No,0KB,AMD,75 Watts,512 MB,51.2GB/sec,128 Bit,800 MHz,GDDR5,Radeon HD 4750,No,3.3,500 Watt & 26 Amps,12 GPixel/s,None,40nm,16,09-Sep-2009,2560x1600,Yes,4.1,32,23 GTexel/s,0
R700 RV730 XT,750 MHz,1,Yes,DX 10.1,0,No,0KB,AMD,59 Watts,1024 MB,25.6GB/sec,128 Bit,800 MHz,GDDR3,Radeon HD 4670 Gigabyte 1GB Edition,No,3.3,400 Watt & 29 Amps,6 GPixel/s,None,55nm,8,01-Nov-2009,2560x1600,Yes,4.1,32,24 GTexel/s,1
R700 RV730 XT,750 MHz,2,Yes,DX 10.1,0,No,0KB,AMD,59 Watts,1024 MB,25.6GB/sec,128 Bit,800 MHz,GDDR3,Radeon HD 4670 AGP,No,3.3,400 Watt & 29 Amps,6 GPixel/s,None,55nm,8,17-Jul-2007,2560x1600,Yes,4.1,32,24 GTexel/s,0
R700 RV730 XT,750 MHz,1,Yes,DX 10.1,1,No,0KB,AMD,59 Watts,512 MB,32.1GB/sec,128 Bit,1004 MHz,GDDR3,Radeon HD 4670 Asus 512MB Edition,No,3.3,400 Watt & 29 Amps,6 GPixel/s,None,55nm,8,09-Oct-2008,2560x1600,Yes,4.1,32,24 GTexel/s,1
R700 RV730 PRO,600 MHz,2,Yes,DX 10.1,0,No,0KB,AMD,48 Watts,1024 MB,24GB/sec,128 Bit,750 MHz,GDDR3,Radeon HD 4650 v2,No,3.3,400 Watt & 29 Amps,5 GPixel/s,None,55nm,8,10-Sep-2008,2560x1600,Yes,4.1,32,19 GTexel/s,0
R700 RV730 PRO,600 MHz,1,Yes,DX 10.1,1,No,0KB,AMD,48 Watts,1024 MB,22.4GB/sec,128 Bit,700 MHz,DDR2,Radeon HD 4650 1GB,No,3.3,400 Watt & 29 Amps,5 GPixel/s,None,55nm,8,10-Sep-2008,2560x1600,Yes,4.1,32,19 GTexel/s,1
R700 RV730 XT,750 MHz,1,Yes,DX 10.1,1,No,0KB,AMD,59 Watts,1024 MB,25.6GB/sec,128 Bit,800 MHz,GDDR3,Radeon HD 4670 1GB,No,3.3,400 Watt & 29 Amps,6 GPixel/s,None,55nm,8,10-Sep-2008,2560x1600,Yes,4.1,32,24 GTexel/s,1
R700 RV710,600 MHz,1,Yes,DX 10.1,1,No,0KB,AMD,20 Watts,512 MB,6.4GB/sec,64 Bit,400 MHz,DDR2,Radeon HD 4350 Asus Silent 512MB Edition,No,3.3,300 Watt & 20 Amps,2 GPixel/s,None,55nm,4,30-Sep-2008,2560x1600,No,4.1,8,5 GTexel/s,1
R700 RV730PRO,N/A,2,Yes,DX 10.1,0,No,0KB,AMD,48 Watts,512 MB,12.8GB/sec,128 Bit,400 MHz,DDR2,Radeon HD 4650,No,3,400 Watt & 24 Amps,5 GPixel/s,None,55nm,8,01-Sep-2008,2560x1600,Yes,4.1,32,19 GTexel/s,0
R700 RV730PRO,N/A,1,Yes,DX 10.1,1,No,0KB,AMD,48 Watts,1024 MB,12.8GB/sec,128 Bit,400 MHz,DDR2,Radeon HD 4650 Asus Low Profile Edition,No,3,400 Watt & 24 Amps,5 GPixel/s,None,55nm,8,01-Sep-2008,2560x1600,Yes,4.1,32,19 GTexel/s,1
R700 RV710,600 MHz,1,Yes,DX 10.1,1,No,0KB,AMD,25 Watts,256 MB,12.8GB/sec,64 Bit,800 MHz,GDDR3,Radeon HD 4550,No,3.3,300 Watt & 20 Amps,2 GPixel/s,None,55nm,4,01-Sep-2008,2560x1600,Yes,4.1,8,5 GTexel/s,1
R700 RV710,600 MHz,1,Yes,DX 10.1,1,No,0KB,AMD,20 Watts,1024 MB,8GB/sec,64 Bit,500 MHz,DDR2,Radeon HD 4350 1GB,No,3.3,300 Watt & 16 Amps,2 GPixel/s,None,55nm,4,30-Sep-2008,2560x1600,Yes,4.1,8,5 GTexel/s,1
R700 RV710,600 MHz,1,Yes,DX 10.1,1,No,0KB,AMD,25 Watts,512 MB,12.8GB/sec,64 Bit,800 MHz,GDDR3,Radeon HD 4550 v2,No,3.3,300 Watt & 20 Amps,2 GPixel/s,None,55nm,4,30-Sep-2008,2560x1600,No,4.1,8,5 GTexel/s,0
R700 RV730 XT,750 MHz,1,Yes,DX 10.1,1,No,0KB,AMD,59 Watts,512 MB,25.6GB/sec,128 Bit,800 MHz,GDDR3,Radeon HD 4670 512MB,No,3.3,400 Watt & 29 Amps,6 GPixel/s,None,55nm,8,10-Sep-2008,2560x1600,Yes,4.1,32,24 GTexel/s,1
R700 RV710,600 MHz,1,Yes,DX 10.1,1,No,0KB,AMD,20 Watts,512 MB,6.4GB/sec,64 Bit,400 MHz,DDR2,Radeon HD 4350,No,3.3,300 Watt & 20 Amps,2 GPixel/s,None,55nm,4,30-Sep-2008,2560x1600,Yes,4.1,8,5 GTexel/s,1
